Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Jacob deGrom\degroja01,NYM,207.0,29.0,99%,9.6,10,9,.526,1.70,32,32,0,1,0,0,217.0,152,48,41,10,46,3,269,5,0,2,835,0.912,216
2,Max Scherzer\scherma01,WSN,123.0,1.0,59%,8.8,18,7,.720,2.53,33,33,0,2,1,0,220.2,150,66,62,23,51,4,300,12,1,4,866,0.911,168
3,Aaron Nola\nolaaa01,PHI,86.0,0.0,41%,10.5,17,6,.739,2.37,33,33,0,0,0,0,212.1,149,57,56,17,58,3,224,7,1,4,831,0.975,175
4,Kyle Freeland\freelky01,COL,49.0,0.0,23%,8.4,17,7,.708,2.85,33,33,0,0,0,0,202.1,182,64,64,17,70,2,173,6,0,2,844,1.245,164
5,Patrick Corbin\corbipa01,ARI,23.0,0.0,11%,4.6,11,7,.611,3.15,33,33,0,1,1,0,200.0,162,70,70,15,48,3,246,5,0,8,800,1.050,137
6,Miles Mikolas\mikolmi01,STL,13.0,0.0,6%,4.1,18,4,.818,2.83,32,32,0,1,1,0,200.2,186,70,63,16,29,4,146,7,1,2,808,1.071,137
7,Josh Hader\haderjo01,MIL,4.0,0.0,2%,2.1,6,1,.857,2.43,55,0,14,0,0,12,81.1,36,23,22,9,30,0,143,1,1,0,306,0.811,168
8,Mike Foltynewicz\foltymi01,ATL,3.0,0.0,1%,3.9,13,10,.565,2.85,31,31,0,2,1,0,183.0,130,65,58,17,68,3,202,6,2,7,744,1.082,142
9,Jon Lester\lestejo01,CHC,2.0,0.0,1%,3.4,18,6,.750,3.32,32,32,0,0,0,0,181.2,174,75,67,24,64,1,149,6,0,4,761,1.310,129
10,Blake Snell\snellbl01,TBR,169.0,17.0,80%,7.5,21,5,.808,1.89,31,31,0,0,0,0,180.2,112,41,38,16,64,2,221,1,0,13,700,0.974,219
11,Justin Verlander\verlaju01,HOU,154.0,13.0,73%,6.2,16,9,.640,2.52,34,34,0,1,1,0,214.0,156,63,60,28,37,0,290,8,2,5,833,0.902,159
12,Corey Kluber\klubeco01,CLE,71.0,0.0,34%,5.9,20,7,.741,2.89,33,33,0,2,1,0,215.0,179,75,69,25,34,0,222,3,0,2,842,0.991,151
13,Chris Sale\salech01,BOS,59.0,0.0,28%,6.9,12,4,.750,2.11,27,27,0,0,0,0,158.0,102,39,37,11,34,0,237,14,0,4,617,0.861,207
14,Gerrit Cole\colege01,HOU,26.0,0.0,12%,5.3,15,5,.750,2.88,32,32,0,1,1,0,200.1,143,68,64,19,64,0,276,7,0,9,799,1.033,140
15,Trevor Bauer\bauertr01,CLE,13.0,0.0,6%,5.8,12,6,.667,2.21,28,27,1,0,0,1,175.1,134,51,43,9,57,2,221,9,0,12,717,1.089,198
17,Luis Severino\severlu01,NYY,1.0,0.0,0%,4.8,19,8,.704,3.39,32,32,0,1,1,0,191.1,173,76,72,19,46,0,220,5,0,8,780,1.145,129
